ref,dis,mos
163.png,163_len5_len2_gb_2.png,2.6
253.png,253_len2_len5_bd_1.png,2.875
47.png,47_len3_len5_gn_2.png,2.7
211.png,211_len6_len3_st_1.png,3.0
223.png,223_len3_gn_3.png,3.1
211.png,211_len6_gb_1.png,2.8
230.png,230_len3_gb_1.png,3.444444444
178.png,178_len4_gb_3.png,3.1
289.png,289_len4_gb_1.png,3.5
180.png,180_len3_st_1.png,3.2
32.png,32_len2_len6_st_1.png,3.5
149.png,149_len3_st_3.png,1.4
258.png,258_len2_len5_bd_3.png,1.3
122.png,122_len1_len4_gn_1.png,4.1
109.png,109_len3_gb_3.png,2.7
31.png,31_len3_len5_gn_3.png,2.333333333
326.png,326_len5_len2_st_1.png,2.2
322.png,322_len1_gn_1.png,3.5
132.png,132_len6_len3_st_1.png,2.5
408.png,408_len5_len2_gb_3.png,2.2
404.png,404_len3_len1_st_3.png,1.555555556
39.png,39_len3_gn_2.png,3.2
132.png,132_len6_bd_2.png,3.0
335.png,335_len5_gb_3.png,1.888888889
200.png,200_len3_len6_gb_1.png,3.666666667
393.png,393_len3_gb_1.png,3.7
138.png,138_len4_len1_bd_2.png,2.333333333
403.png,403_len3_st_1.png,2.8
159.png,159_len4_len1_st_1.png,3.25
297.png,297_len2_len4_gn_3.png,2.222222222
39.png,39_len3_len1_bd_1.png,2.7
255.png,255_len5_st_3.png,2.6
259.png,259_len5_len2_st_3.png,1.9
193.png,193_len4_len6_gn_2.png,2.8
215.png,215_len4_gb_3.png,2.875
273.png,273_len3_gb_2.png,3.0
386.png,386_len5_len3_bd_2.png,2.444444444
283.png,283_len6_len4_gn_3.png,1.888888889
199.png,199_len2_st_3.png,2.0
115.png,115_len6_len3_gn_2.png,2.9
41.png,41_len3_len6_bd_3.png,1.9
367.png,367_len2_len5_st_3.png,2.4
341.png,341_len2_len6_st_2.png,2.7
352.png,352_len4_st_1.png,3.0
358.png,358_len6_bd_3.png,2.2
394.png,394_len5_bd_1.png,4.0
102.png,102_len2_len6_bd_3.png,2.4
217.png,217_len2_gb_2.png,3.222222222
393.png,393_len3_st_3.png,2.2
224.png,224_len3_len6_bd_2.png,2.8
64.png,64_len1_len5_st_3.png,1.2
150.png,150_len2_gn_3.png,3.0
248.png,248_len2_len5_st_2.png,2.8
407.png,407_len3_len5_st_2.png,2.2
232.png,232_len2_gb_2.png,2.5
278.png,278_len6_len2_gn_3.png,1.888888889
159.png,159_len4_len1_gb_3.png,2.3
139.png,139_len6_bd_2.png,2.142857143
161.png,161_len4_gb_2.png,3.1
200.png,200_len3_len6_gb_3.png,1.7
335.png,335_len5_st_3.png,1.888888889
125.png,125_len2_bd_1.png,3.0
133.png,133_len1_len4_gn_1.png,3.333333333
339.png,339_len4_bd_3.png,2.0
275.png,275_len3_bd_2.png,2.2
337.png,337_len3_st_2.png,2.555555556
120.png,120_len1_st_2.png,2.375
377.png,377_len4_len2_gn_2.png,2.555555556
307.png,307_len4_len2_gb_1.png,3.5
197.png,197_len1_len4_bd_2.png,2.2
90.png,90_len5_len2_st_2.png,2.333333333
108.png,108_len3_len6_st_2.png,2.1
204.png,204_len4_gn_1.png,4.2
274.png,274_len3_len5_gn_1.png,3.2
288.png,288_len4_len1_gn_1.png,3.5
154.png,154_len3_st_2.png,3.5
283.png,283_len6_len4_st_3.png,1.8
127.png,127_len1_bd_1.png,2.666666667
360.png,360_len2_len6_gn_1.png,3.444444444
372.png,372_len3_len5_gb_1.png,3.4
14.png,14_len2_len6_st_1.png,3.0
89.png,89_len2_bd_2.png,3.1
261.png,261_len4_len1_gn_2.png,2.4
100.png,100_len5_len2_gb_1.png,3.111111111
307.png,307_len4_len2_bd_2.png,2.5
401.png,401_len1_len4_bd_2.png,2.5
151.png,151_len3_bd_3.png,1.777777778
48.png,48_len4_bd_1.png,3.5
117.png,117_len3_st_1.png,3.2
278.png,278_len6_len2_gb_1.png,3.2
409.png,409_len2_len5_gb_3.png,2.1
255.png,255_len5_len1_st_1.png,2.888888889
50.png,50_len6_gn_1.png,3.6
75.png,75_len3_bd_2.png,3.1
101.png,101_len1_len4_gb_2.png,2.666666667
407.png,407_len3_gn_1.png,3.6
281.png,281_len4_len6_gb_2.png,2.5
136.png,136_len4_gb_2.png,2.857142857
256.png,256_len4_len1_st_2.png,2.6
282.png,282_len1_gb_2.png,3.2
266.png,266_len2_len5_gn_1.png,2.555555556
120.png,120_len1_len4_bd_2.png,2.3
244.png,244_len4_len1_bd_2.png,2.1
185.png,185_len6_bd_1.png,3.625
153.png,153_len1_gn_3.png,2.8
264.png,264_len2_len4_bd_1.png,3.0
59.png,59_len1_len5_bd_1.png,3.222222222
48.png,48_len4_len1_bd_3.png,2.0
